"dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration bp","num_all_rb bp","rb_full_rate bp","rb_full_int bp","first_rb bp","last_rb bp","rb_period bp","rate_adj_rb bp","low_rb bp","low_rb_rate bp","num_br bp","rate_br bp","num_gul bp","rate_gul bp","num_ch bp","rate_ch bp","dur_exh_tot bp","exh_pct bp","num_exh bp","exh_avg bp","soh bp","toh bp","hbn bp","lbn bp","num trials"
1,"uniformis","Boccia 252M","Tuxtlas","dunk","yes",1.1,34,"M","no",25.249,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0.0396055289318389,0,0,0,NA,0,0,0,0,2
2,"barkeri","Boccia 253M","Tuxtlas","dunk","yes",9.3,74,"F","sustained",79.498,10,0.12578932803341,6.82044444444444,224.604,285.988,61.384,0.162908901342369,0,0,4,0.0503157312133639,11,0.138368260836751,0,0,4.65699999999998,0.0585800900651587,12,0.388083333333332,10,0,0,0,8
2,"barkeri","Boccia 255M","Tuxtlas","dunk","yes",14.1,93,"M","incidental",145.084,4,0.027570235174106,13.7753333333333,83.153,124.479,41.326,0.0967913662101341,0,0,10,0.0689255879352651,3,0.0206776763805795,0,0,104.202,0.718218411403049,13,8.01553846153846,4,0,0,0,10
2,"barkeri","Boccia 256M","Tuxtlas","dunk","yes",11.5,83,"M","sustained",160.425,7,0.0436340969300296,26.4943333333333,74.937,233.903,158.966,0.0440345734307965,0,0,6,0.0374006545114539,0,0,0,0,147.416,0.918909147576749,12,12.2846666666667,7,0,0,0,7
1,"barkeri","Boccia 257M","Tuxtlas","dunk","yes",7.3,70,"F","sustained",149.127,7,0.0469398566322665,10.633,57.173,120.971,63.798,0.10972130787799,0,0,4,0.026822775218438,5,0.0335284690230475,0,0,42.438,0.284576233680018,8,5.30475,7,0,0,0,6
1,"antonii","Boccia 258","Tatama","dunk","yes",1.6,45,"M","no",85.836,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
2,"barkeri","Boccia 258M","Tuxtlas","dunk","yes",5.2,63,"F","incidental",45.767,1,0.0218498044442502,NA,90.617,NA,NA,NA,0,0,2,0.0436996088885005,0,0,0,0,1.208,0.0263945637686542,3,0.402666666666666,1,0,0,0,6
1,"ventrimaculatus","Boccia 259","Tatama","dunk","no",7.3,72,"M","no",38.5,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
1,"barkeri","Boccia 259M","Tuxtlas","dunk","yes",13.9,90,"M","sustained",111.685,15,0.134306307919595,6.58878571428571,65.013,157.256,92.243,0.162613965287339,0,0,6,0.0537225231678381,1,0.00895375386130635,0,0,28.289,0.253292742982495,19,1.4888947368421,15,0,0,0,12
2,"barkeri","Boccia 260M","Tuxtlas","dunk","yes",6.9,68,"F","sustained",270.87,17,0.0627607339314062,16.64925,187.49,453.878,266.388,0.0638166884394192,0,0,2,0.00738361575663602,0,0,0,0,73.242,0.270395392623768,16,4.577625,15,0,2,0,7
