boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
Boccia254M_3 (2),1,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,no
Boccia254M_3 2,2,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,incidental
Boccia255M,1,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M 2,2,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_2,1,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_2 2,2,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_2 3,3,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_3,1,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_3 2,2,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_3 3,3,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_4,1,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia255M_4 2,2,barkeri,Boccia 255M,Tuxtlas,dunk,yes,14.1,93,M,incidental
Boccia256M dunk,1,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,no
Boccia256M_2,1,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,no
Boccia256M_2 2,2,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,no
Boccia256M_2 3,3,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,incidental
Boccia256M_2 4,4,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,no
Boccia256M_4,1,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,incidental
Boccia256M_4 2,2,barkeri,Boccia 256M,Tuxtlas,dunk,yes,11.5,83,M,sustained
Boccia257 dunk,1,maculigula,Boccia 257,Tatama,dunk,yes,0.8,36,J,incidental
Boccia257M_2,1,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,sustained
Boccia257M_2 (2),1,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,sustained
Boccia257M_2 (2) 2,2,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,no
Boccia257M_2 2,2,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,incidental
Boccia257M_4,1,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,incidental
Boccia257M_4 2,2,barkeri,Boccia 257M,Tuxtlas,dunk,yes,7.3,70,F,incidental
