"Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration mean","num_all_rb mean","rb_full_rate mean","rb_full_int mean","first_rb mean","last_rb mean","rb_period mean","rate_adj_rb mean","low_rb mean","low_rb_rate mean","num_br mean","rate_br mean","num_gul mean","rate_gul mean","num_ch mean","rate_ch mean","dur_exh_tot mean","exh_pct mean","num_exh mean","exh_avg mean","soh mean","toh mean","hbn mean","lbn mean","num trials"
"barkeri","Boccia 257M","Tuxtlas","dunk","yes",7.3,70,"F","sustained",115.289666666667,2.66666666666667,0.0334123951385192,NA,NA,NA,NA,NA,0,0,1.66666666666667,0.00787724612388572,3.33333333333333,0.0493174224719649,0,0,39.6033333333333,0.439996070866708,4.16666666666667,11.4464416666667,2.66666666666667,0,0,0,6
"antonii","Boccia 258","Tatama","dunk","yes",1.6,45,"M","no",85.836,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
"barkeri","Boccia 258M","Tuxtlas","dunk","yes",5.2,63,"F","incidental",56.6415,0.166666666666667,0.0036416340740417,NA,NA,NA,NA,NA,0.166666666666667,0.00126447507846068,0.5,0.0085477432265441,1.16666666666667,0.0246606769132782,0,0,31.9845,0.327147575428239,1.16666666666667,NA,0.166666666666667,0,0,0.166666666666667,6
"ventrimaculatus","Boccia 259","Tatama","dunk","no",7.3,72,"M","no",38.5,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
"barkeri","Boccia 259M","Tuxtlas","dunk","yes",13.9,90,"M","sustained",111.869166666667,5.41666666666667,0.066191828542802,NA,NA,NA,NA,NA,0.833333333333333,0.0100004661264706,4.41666666666667,0.0443226510455758,1.58333333333333,0.0191304628524844,0,0,36.39975,0.34584658924902,8.66666666666667,9.01862775351369,5.16666666666667,0,0.25,0.833333333333333,12
"barkeri","Boccia 260M","Tuxtlas","dunk","yes",6.9,68,"F","sustained",135.664,2.71428571428571,0.0160657218643906,NA,NA,NA,NA,NA,0,0,1,0.0137942962562048,2.57142857142857,0.0470660859325595,0,NA,22.3792857142857,0.0851089649792427,3.42857142857143,NA,2.42857142857143,0,0.285714285714286,0,7
"maculigula","Boccia 261","Tatama","dunk","yes",12.7,80,"F","incidental",184.538,2,0.0108378762097779,44.304,209.8,254.104,44.304,0.0451426507764536,0,0,3,0.0162568143146669,1,0.00541893810488897,0,0,6.04400000000004,0.0327520619059491,4,1.51100000000001,1,1,0,0,1
"barkeri","Boccia 261M","Tuxtlas","dunk","no",6.9,68,"F","sustained",128.253857142857,8.28571428571429,0.0746040231005602,NA,NA,NA,NA,NA,0.142857142857143,0.00230906353619226,1.85714285714286,0.0170124198209546,6.57142857142857,0.055412288968686,2.28571428571429,0.0120952236128644,31.9548571428571,0.192909850112504,8.57142857142857,NA,8.14285714285714,0,0.142857142857143,0.142857142857143,7
"maculigula","Boccia 262","Tatama","dunk","no",37.7,118,"M","incidental",419.335,1,0.002104248688527,NA,NA,NA,NA,NA,0,0,4,0.008416994754108,19,0.0399807250820131,0,0,110.6915,0.232922443706087,5.5,NA,0,1,0,0,2
"barkeri","Boccia 262M","Tuxtlas","dunk","yes",7.1,72,"M","sustained",181.987,7.2,0.0541258338626059,NA,NA,NA,NA,NA,2.8,0.0317469082790275,3,0.0068013767917743,18.8,0.0712015080925261,0.4,NA,83.9498,0.263320649968254,12,NA,7,0,0.2,2.8,5
"barkeri","Boccia 263M","Tuxtlas","dunk","yes",6.9,75,"M","sustained",185.192,10.6666666666667,0.0508869319582053,41.6717564102564,362.98,378.659,21.1556666666667,1.16721513921656,4,0.0218020614304461,1.33333333333333,0.00643805541213916,11.6666666666667,0.0628371328790466,0,0,61.7233333333333,0.319510039804129,15,17.7553206349206,10.6666666666667,0,0,4,3
"maculigula","Boccia 264","Tatama","dunk","yes",8.1,69,"F","sustained",108.358,11,0.101515347274774,33.6415,130.192,129.733,0.459000000000003,23.9651416122003,2,0.0184573358681408,3,0.0276860038022112,4,0.0369146717362816,1,0.0585411544315654,34.915,0.322218940918068,15,2.32766666666667,10,1,0,2,1
"sericeus","Boccia 264M","Tuxtlas","dunk","yes",1.1,42,"M","no",120.69,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
"maculigula","Boccia 265","Tatama","dunk","yes",28.9,113,"M","incidental",38.31,1.5,0.0273488066804018,NA,NA,NA,NA,NA,0,0,6,0.109395226721607,0.5,0.0229642217425251,0,0,23.2045,0.423076923076924,7,NA,0,1.5,0,0,2
"sericeus","Boccia 265M","Tuxtlas","dunk","yes",0.8,37,"M","no",117.916,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.00848061331795515,0,0,0,0,0,NA,0,0,0,0,1
"barkeri","Boccia 266M","Tuxtlas","dunk","yes",7.6,70,"F","sustained",77.7012,4.4,0.0469114885702792,NA,NA,NA,NA,NA,0,0,0.8,0.00780003099681458,6,0.0574050246437913,0,NA,13.6742,0.145499708955216,3.6,NA,4.2,0,0.2,0,5
"barkeri","Boccia 267M","Tuxtlas","dunk","no",15.6,92,"M","sustained",272.361333333333,9,0.0322930227079459,26.4568771929825,151.106333333333,286.697,135.590666666667,0.0559885613360815,0,0,1.66666666666667,0.005949373448318,5.33333333333333,0.0175402823546952,0,NA,63.3946666666667,0.268350902315663,9.33333333333333,8.82975,9,0,0,0,3
"maculigula","Boccia 268","Tatama","dunk","no",13,87,"F","sustained",104.5615,12,0.210834813320706,5.49979166666667,54.587,99.562,44.975,0.289588429184294,0,0,4.5,0.0436032756824614,5,0.0709622296870547,0,NA,97.8475,0.863181424445068,11.5,14.5279656862745,0,12,0,0,2
