"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"Boccia229","Boccia 229",16.678,47.543,30.865,1,0.0323991576219018,NA,24.416,NA,NA,NA,0,0,3,0.0971974728657055,3,0.0971974728657055,0,0,0,0,0,6.065,0.196500890976835,4,1.51625,0,1,0,0,1,"maculigula","Boccia 229","Tatama","dunk","no",7.5,72,"F","incidental"
"Boccia230 hide + dunk","Boccia 230",32.384,181.782,149.398,15,0.100402950508039,8.87085714285714,53.586,177.778,124.192,0.120780726616851,0,0,1,0.00669353003386926,6,0.0401611802032156,0,NA,149.398,0,0,106.497,0.712840868016975,10,10.6497,6,9,0,0,1,"maculigula","Boccia 230","Tatama","dunk","yes",2.2,50,"J","sustained"
"Boccia230-2","Boccia 230",0,84.046,84.046,4,0.0475929847940414,23.3146666666667,7.853,77.797,69.944,0.0571886080292806,0,0,0,0,6,0.071389477191062,0,0,0,0,0,58.015,0.690276753206577,4,14.50375,1,3,0,0,1,"maculigula","Boccia 230","Tatama","dunk","no",2.2,50,"J","incidental"
"Boccia230","Boccia 230",0,101.486,101.486,14,0.137950062077528,4.94692307692308,1.067,65.377,64.31,0.217695537241487,0,0,0,0,14,0.137950062077528,0,NA,101.486,0,0,53.709,0.529225706008711,8,6.713625,0,14,0,0,1,"maculigula","Boccia 230","Tatama","dunk","yes",2.2,50,"J","sustained"
"Boccia230_2","Boccia 230",12.856,144.069,131.213,2,0.0152423921410226,14.536,15.143,29.679,14.536,0.137589433131536,0,0,1,0.00762119607051131,4,0.0304847842820452,2,0.0203670135847981,33.015,0,0,1.256,0.00957222226456222,3,0.418666666666667,0,2,0,0,1,"maculigula","Boccia 230","Tatama","dunk","yes",2.2,50,"J","incidental"
"Boccia231 2","Boccia 231",75.168,99.733,24.565,4,0.162833299409729,3.647,81.721,92.662,10.941,0.36559729458002,0,0,4,0.162833299409729,0,0,0,0,0,0,0,20.005,0.814370038672909,7,2.85785714285714,0,4,0,0,2,"maculigula","Boccia 231","Tatama","dunk","yes",14.2,86,"F","incidental"
"Boccia231 hide + dunk","Boccia 231",96.314,221.821,125.507,2,0.0159353661548758,20.892,133.236,112.344,20.892,0.0957304231284702,1,0.00796768307743791,13,0.103579880006693,7,0.0557737815420654,0,0,0,0,0,24.004,0.19125626459082,16,1.50025,0,2,0,1,1,"maculigula","Boccia 231","Tatama","dunk","yes",14.2,86,"F","incidental"
"Boccia231","Boccia 231",14.359,57.67,43.311,2,0.046177645401861,4.003,18.279,22.282,4.003,0.499625281039221,0,0,2,0.046177645401861,1,0.0230888227009305,0,NA,43.311,0,0,4.016,0.0927247119669368,4,1.004,0,2,0,0,1,"maculigula","Boccia 231","Tatama","dunk","yes",14.2,86,"F","incidental"
"Boccia233","Boccia 233",0,27.854,27.854,0,0,NA,NA,NA,NA,NA,0,0,0,0,2,0.0718029726430674,0,NA,27.854,0,0,0,0,0,NA,0,0,0,0,1,"maculigula","Boccia 233","Tatama","dunk","yes",1,39,"J","no"
"Boccia233_2 2","Boccia 233",170.956,209.712,38.756,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,2,"maculigula","Boccia 233","Tatama","dunk","yes",1,39,"J","no"
"Boccia233_2","Boccia 233",33.751,148.463,114.712,2,0.0174349675709603,34,70.035,104.035,34,0.0588235294117647,0,0,0,0,2,0.0174349675709603,1,0.00871748378548016,0,0,0,41.256,0.35964851105377,2,20.628,0,2,0,0,1,"maculigula","Boccia 233","Tatama","dunk","yes",1,39,"J","incidental"
"Boccia234 dunk","Boccia 234",0.022,11.101,11.079,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"maculigula","Boccia 234","Tatama","dunk","yes",14.4,85,"F","no"
"Boccia234","Boccia 234",115.299,429.201,313.902,5,0.0159285382061917,17.10275,246.719,315.13,68.411,0.0730876613410124,0,0,4,0.0127428305649534,6,0.0191142458474301,3,0.00955712292371504,0,0,0,18.0930000000001,0.0576390083529256,8,2.26162500000001,0,5,0,0,1,"maculigula","Boccia 234","Tatama","dunk","no",14.4,85,"F","sustained"
"Boccia234M 2","Boccia 234M",30.636,51.132,20.496,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.0487900078064013,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"barkeri","Boccia 234M","Tuxtlas","dunk","yes",1.4,45,"J","no"
"Boccia234M","Boccia 234M",244.871,390.23,145.359,10,0.0687951898403264,9.59133333333333,246.038,332.36,86.322,0.115845323324297,0,0,0,0,4,0.0275180759361305,0,0,7.03100000000001,0,0,38.8099999999999,0.266994131770306,7,5.5442857142857,10,0,0,0,1,"barkeri","Boccia 234M","Tuxtlas","dunk","yes",1.4,45,"J","sustained"
"Boccia234M_2 2","Boccia 234M",62.168,103.455,41.287,0,0,NA,NA,NA,NA,NA,0,0,0,0,2,0.0484413980187468,0,0,0,0,0,0,0,0,NA,0,0,0,0,2,"barkeri","Boccia 234M","Tuxtlas","dunk","yes",1.4,45,"J","no"
