"","plot","species","duration","reads","r2_lin","r2_cur","f_read","f_read_fit","w_temp","lin_aic","quad_aic","exp_aic","asym_aic","lin_lik","quad_lik","exp_lik","asym_lik","lin_int","lin_slope","quad_int","quad_x","quad_x2","quad_dir","exp_int","exp_cur","asym_int","asym_cur","asym_asym","p_lin","p_exp"
"31","./trace trials/MX/Boccia273M.1","barkeri","88","10","0.385915306421714","0.479666657343631","142.635","130.901810745039","26.13","63.7080324148971","68.0514003519589","63.6424983504949","NULL","-26.8540162074485","-26.0257001759794","-26.8212491752474","NULL","154.849605578435","-0.27213403219768","160.650859296862","-0.891060167602493","0.01165061036877","up","155.079287541792","0.00186214786948134","NULL","NULL","NULL","0.0552343968247638","0.0493025093527063"
"32","./trace trials/MX/Boccia266M.1","barkeri","80","6","0.433350138247821","0.651205845928585","143.68","123.889161971831","22.3","61.3506510222552","88.4390931016933","61.4482650987168","NULL","-21.6753255111276","-20.2195465508466","-21.7241325493584","NULL","175.133105633803","-0.640549295774649","161.538042204699","1.69917165817733","-0.0583319515585432","down","175.206100055913","0.00386205494148179","NULL","NULL","NULL","0.155195728612248","0.171159145918701"
"33","./trace trials/MX/Boccia267M.1","barkeri","178","18","0.40271460069301","0.434976924576568","150.659","137.609350522879","22.42","116.078382101077","118.441506766455","115.97273089261","114.445841708361","-54.1820481933957","-53.6822918447659","-54.1292225891619","-51.6844593157189","171.578037597521","-0.190835320644056","174.935745923069","-0.383245288203318","0.00208349456044872","up","171.824910456279","0.00118274357105456","191.191748650887","0.0779417671407069","160.383023532376","0.00466939499715743","0.00462578813548159"
"34","./trace trials/MX/Boccia274M.1","barkeri","79","14","0.913290101619586","0.959495250210684","131.323","122.598352751845","22.58","95.1435100702444","88.5318713223013","96.8133600307729","NULL","-43.3717550351222","-38.0437134389284","-44.2066800153864","NULL","178.449050992552","-0.70697086380641","165.860052538888","0.449044503966049","-0.0150405927712368","down","179.584933018167","0.00462924485106272","NULL","NULL","NULL","9.96588581438011e-08","3.4051714494917e-07"
"35","./trace trials/MX/Boccia273M.2","barkeri","400","7","0.962132101236739","0.969771197916947","85.782","81.4259221506436","22.68","59.2258521032438","71.6486920880067","57.7085707911722","71.6928770320893","-22.6129260516219","-21.8243460440034","-21.8542853955861","-21.8464385160446","171.18937425847","-0.224408630269565","172.781210449487","-0.309511469439238","0.000224298127539454","up","172.714773679063","0.00179346801136635","172.859284172201","0.00198895918013202","12.1797256358344","9.60555374755152e-05","0.000161672988818352"
"36","./trace trials/MX/Boccia262M.1","barkeri","576","57","0.930993142371501","0.944004878894422","92.284","51.3142919276094","23.2","344.18333831247","334.590083553041","333.225214660657","334.686901723478","-168.865254061896","-162.910426391905","-163.386192235989","-162.958835477124","154.65409237572","-0.17940937577797","160.223197121304","-0.252071259561733","0.000182044698188761","up","159.263082619346","0.00152036945557245","160.717841152639","0.00205653667262192","31.2851127235739","1.30102437408957e-33","3.98581205106331e-36"
"37","./trace trials/MX/Boccia268M.3","barkeri","105","17","0.633144092639288","0.66862764162228","129.206","130.995832451866","23.66","107.43799341575","109.195823166471","107.754083333061","NULL","-49.795919784798","-48.9312449165686","-49.9539647434534","NULL","155.19679467171","-0.230485354474704","151.012621833853","-0.0221728793445137","-0.00197285258054115","down","155.45390983539","0.00159354835415195","NULL","NULL","NULL","0.000133598435199533","0.000165535914855462"
"38","./trace trials/MX/Boccia273M.3","barkeri","359","10","0.962088222186186","0.979722263199703","78.343","65.7391420806883","24.11","75.925920084973","75.6685375930294","71.6140838849552","73.6288848388559","-32.9629600424865","-29.8342687965147","-30.8070419424776","-28.814442419428","161.917261021801","-0.2679056237914","168.841131974861","-0.483311247124913","0.00066687629251525","up","165.870130730511","0.0023433360106382","172.439453542713","0.00610385687856829","67.4688893456958","5.73652868755311e-07","2.74456963575317e-07"
"39","./trace trials/MX/Boccia280M.1","barkeri","427","16","0.934412971818368","0.954528959125527","89.558","71.4697878952633","25.87","104.451775278768","102.227302495407","100.2976594451","NULL","-48.2258876393838","-45.2954694295215","-46.14882972255","NULL","164.363788853397","-0.217550353531928","178.777513532703","-0.388564235600692","0.000415391297088553","up","172.710174820452","0.00184880734336413","NULL","NULL","NULL","1.12640917446272e-09","1.32301108914511e-10"
"40","./trace trials/MX/Boccia280M.2","barkeri","302","9","0.763540188568634","0.862117050631212","102.982","48.2867835472579","24.8","74.262681982114","76.6083238057133","72.8549742656697","76.7613503937473","-31.731340991057","-29.3041619028566","-31.0274871328348","-29.3806751968736","149.408461785298","-0.334839994165694","163.304334716158","-0.778990305857919","0.00256330451354223","up","153.28601710229","0.00290673995256657","166.010820081583","0.0143880734494482","95.7996086674445","0.00207314115581556","0.00131022874372622"
"41","./trace trials/MX/Boccia281M.1","barkeri","241","20","0.757162632958298","0.889617882637236","134.041","112.16331002666","24.8","154.185814820805","141.583605336829","151.458154532155","143.980676075864","-73.3429074104025","-65.4584693350812","-71.9790772660777","-66.6570047045985","169.818264366099","-0.23923217568232","183.810111267207","-0.646592135343697","0.0016941546662341","up","172.481986686575","0.0017753791961031","187.264062294552","0.0128101471869961","118.421004198685","6.16296465481743e-07","3.78916115572286e-07"
"42","./trace trials/MX/Boccia280M.3","barkeri","269","8","0.752043169988397","0.879140672853058","121.607","26.1974892102847","24.48","72.5506490144551","76.134963349618","71.1202925295515","74.7827660859615","-30.2753245072275","-27.4008150081423","-29.5601462647757","-26.7247163763141","200.761486302418","-0.648936792164065","257.141731823218","-2.24210617599394","0.00923613329601922","up","214.145415543223","0.00477710500570756","330.584499695812","0.0302756621262922","120.236933222446","0.00528693275620546","0.00459612698272475"
"43","./trace trials/COL/Boccia235C.1","maculigula","290","30","0.884296274817742","0.890855002357069","119.47","69.7471981722044","21.06","166.958628515158","167.884884229318","165.358759777339","167.809790883592","-80.0177757960404","-79.1424421146589","-79.2178414271309","-79.1048954417961","165.377261724492","-0.329758839835475","166.94853096792","-0.39943967364574","0.000547897587040562","up","166.531604864215","0.00229097206934939","167.084900351595","0.0035366426973662","51.2636270144521","1.2194745409738e-14","1.36608425863394e-14"
"44","./trace trials/COL/Boccia233C.2","maculigula","120","33","0.374302548485238","0.55761269471394","120.493","135.883155834667","21.46","221.832302469035","212.992808246178","222.503199180156","NULL","-107.502358131069","-101.782118408803","-107.83780648663","NULL","163.398918904908","-0.229298025585344","153.583974137978","0.249329908755951","-0.00477138075647066","down","163.361601314734","0.00145683770903901","NULL","NULL","NULL","0.000154862427791474","0.000275826638843331"
"45","./trace trials/COL/Boccia234C.1","maculigula","116","17","0.558143914809368","0.623416851093496","127.636","120.884772678275","22.07","105.928420780604","106.698229146822","106.335919573631","NULL","-49.0411334672249","-47.6824479067444","-49.2448828637385","NULL","156.57044935047","-0.307635143725815","151.978434689801","0.0113700986713069","-0.00401716967213742","down","156.775960939592","0.0020873212649519","NULL","NULL","NULL","0.000568099940888441","0.000942030550622534"
"46","./trace trials/COL/Boccia231C.1","maculigula","118","28","0.296785982731087","0.342913032453717","149.694","136.679601262068","22.26","156.961815323662","157.801288578086","156.858921346723","158.382091592673","-74.9809076618311","-74.0310790716518","-74.9294606733614","-74.3214805789451","156.306961113208","-0.166333558060513","160.86465394756","-0.425930149787899","0.00325441822082524","up","156.49498834619","0.00112079465980132","161.200395503084","0.0300104435804835","144.026965289273","0.00272163981256944","0.00251799402743131"
"47","./trace trials/COL/Boccia239C.1","maculigula","148","14","0.73695622940904","0.754688960721933","119.835","100.282661489561","22.32","92.9789266445935","96.0462621869131","93.4990951307518","NULL","-42.2894633222968","-41.8009088712343","-42.5495475653759","NULL","184.722340364565","-0.570538370777048","158.600088716721","0.145465002665208","-0.00456688119569021","down","191.300379124842","0.00401378260741521","NULL","NULL","NULL","8.49642026353215e-05","0.000191331621952055"
"48","./trace trials/COL/Boccia222C.1","maculigula","93","13","0.539348794554152","0.556109854757089","137.121","135.695248421502","22.45","95.1835018031909","99.0350026010069","95.3290055638344","NULL","-43.2584175682621","-43.0175013005034","-43.3311694485839","NULL","164.507328860922","-0.309807316552901","161.336650879356","-0.0997940776092822","-0.00224282852712189","down","164.764211045268","0.00204633804157402","NULL","NULL","NULL","0.0042528126086773","0.0038962029311707"
"49","./trace trials/COL/Boccia262C.1","maculigula","475","112","0.920920814651554","0.921432817366487","114.621","107.38164138086","22.62","742.962051349157","744.386152791496","745.859000903559","NULL","-368.369914563467","-368.006160507897","-369.818389340669","NULL","166.724664194618","-0.124932679607911","165.559714024434","-0.101265969864339","-5.02383346570118e-05","down","168.052305844983","0.000914616877588601","NULL","NULL","NULL","1.95539038092303e-62","2.28955211983428e-59"
"50","./trace trials/COL/Boccia265C.1","maculigula","52","23","0.0710794419093118","0.116342915232952","148.271","147.86893389501","22.71","125.026275150327","126.83639408349","125.017522690025","NULL","-58.8815586277951","-58.307085930634","-58.8771823976443","NULL","143.347485227403","0.0869509359155193","149.1095110687","-0.326198710919015","0.00664033267819453","up","143.356212165918","-0.000598298612011969","NULL","NULL","NULL","0.218806375628169","0.216778957624422"
